Breed,Gender,Age_time_of_death,Height,Weight,Likes,Skills
Border Collie,Male,13.3,20.7,40.5,likes_people_better_than_dogs,high_trainability
Basset Hound,Male,12.7,13.65,51.02,likes_dogs_better_than_people,no_special_skills
Dachshund,Female,14.0,8.59,24.58,likes_dogs_better_than_people,barks_like_hell
Boston Terrier,Male,12.3,16.27,20.13,likes_people_better_than_dogs,no_special_skills
Chihuahua,Male,15.3,7.14,5.92,likes_dogs_better_than_people,barks_like_hell
Boston Terrier,Male,11.9,15.27,19.23,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,13.2,26.41,67.61,likes_dogs_better_than_people,high_trainability
Australian Shepherd,Male,13.8,21.68,58.77,likes_people_better_than_dogs,high_trainability
Doberman Pinscher,Female,10.9,26.44,77.84,likes_people_better_than_dogs,high_trainability
Golden Retriever,Male,11.7,23.81,68.45,likes_everybody,high_trainability
Plott Hound,Male,13.1,23.74,55.19,likes_nobody,no_special_skills
Pug,Male,14.5,11.65,16.03,likes_people_better_than_dogs,no_special_skills
Beagle,Male,12.3,14.81,18.75,likes_dogs_better_than_people,no_special_skills
Giant Schnauzer,Male,13.5,26.62,69.5,likes_dogs_better_than_people,high_trainability
Boston Terrier,Male,11.7,15.56,20.6,likes_people_better_than_dogs,no_special_skills
Australian Shepherd,Male,13.8,21.68,61.5,likes_people_better_than_dogs,high_trainability
Cane Corso,Female,10.5,26.31,95.17,likes_dogs_better_than_people,no_special_skills
Basset Hound,Male,12.4,13.22,50.27,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,10.8,24.74,89.02,likes_dogs_better_than_people,barks_like_hell
Cane Corso,Female,12.0,26.34,92.81,likes_dogs_better_than_people,no_special_skills
Dachshund,Male,12.9,8.35,25.44,likes_dogs_better_than_people,barks_like_hell
Beagle,Male,12.3,15.15,17.07,likes_dogs_better_than_people,no_special_skills
French Bulldog,Female,11.3,11.64,20.7,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,10.9,25.85,89.79,likes_dogs_better_than_people,barks_like_hell
Doberman Pinscher,Female,11.4,26.81,77.71,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Male,13.1,14.81,27.24,likes_everybody,no_special_skills
Labrador Retriever,Male,10.8,23.92,69.52,likes_everybody,high_trainability
Australian Shepherd,Female,13.8,21.41,45.89,likes_people_better_than_dogs,high_trainability
Beagle,Male,12.2,15.54,17.89,likes_dogs_better_than_people,no_special_skills
Basset Hound,Male,12.4,13.08,51.57,likes_dogs_better_than_people,no_special_skills
Australian Shepherd,Female,13.6,21.06,49.2,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Male,13.3,21.82,57.91,likes_people_better_than_dogs,high_trainability
Bloodhound,Female,11.0,25.88,95.16,likes_dogs_better_than_people,barks_like_hell
Greyhound,Female,11.2,29.28,61.82,likes_dogs_better_than_people,no_special_skills
Rhodesian Ridgeback,Female,11.1,25.54,70.0,likes_people_better_than_dogs,no_special_skills
Barbet,Male,13.3,20.73,52.28,likes_dogs_better_than_people,no_special_skills
Cocker Spaniel,Female,12.3,14.85,21.91,likes_everybody,no_special_skills
Border Collie,Male,14.0,20.58,38.77,likes_people_better_than_dogs,high_trainability
Great Dane,Female,9.0,31.04,119.37,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,12.9,20.93,52.45,likes_nobody,no_special_skills
Golden Retriever,Female,10.9,23.44,61.33,likes_everybody,high_trainability
Doberman Pinscher,Female,11.1,27.01,60.43,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Male,10.9,27.31,111.83,likes_dogs_better_than_people,no_special_skills
Greyhound,Male,11.8,29.05,68.57,likes_dogs_better_than_people,no_special_skills
Chihuahua,Male,15.1,7.65,4.56,likes_dogs_better_than_people,barks_like_hell
Beagle,Male,13.5,14.95,18.73,likes_dogs_better_than_people,no_special_skills
Barbet,Female,13.2,22.21,46.77,likes_dogs_better_than_people,no_special_skills
Plott Hound,Male,13.3,23.35,54.64,likes_nobody,no_special_skills
Australian Shepherd,Male,13.2,20.95,59.2,likes_people_better_than_dogs,high_trainability
Cocker Spaniel,Male,11.3,15.11,29.39,likes_everybody,no_special_skills
Australian Shepherd,Female,14.3,23.35,46.84,likes_people_better_than_dogs,high_trainability
Tibetan Mastiff,Female,11.0,26.49,91.8,likes_dogs_better_than_people,no_special_skills
Barbet,Female,12.6,20.37,57.86,likes_dogs_better_than_people,no_special_skills
Bloodhound,Female,11.1,26.64,91.67,likes_dogs_better_than_people,barks_like_hell
Rottweiler,Male,9.6,25.87,117.78,likes_dogs_better_than_people,high_trainability
Doberman Pinscher,Female,11.2,27.37,80.64,likes_people_better_than_dogs,high_trainability
French Bulldog,Female,11.3,12.06,23.31,likes_people_better_than_dogs,no_special_skills
Border Collie,Male,13.4,20.35,43.33,likes_people_better_than_dogs,high_trainability
Australian Shepherd,Female,13.1,21.34,44.44,likes_people_better_than_dogs,high_trainability
Golden Retriever,Male,10.8,23.39,70.24,likes_everybody,high_trainability
Chihuahua,Male,14.5,6.66,5.23,likes_dogs_better_than_people,barks_like_hell
Rhodesian Ridgeback,Male,11.5,26.08,85.0,likes_people_better_than_dogs,no_special_skills
Giant Schnauzer,Male,13.3,26.91,77.72,likes_dogs_better_than_people,high_trainability
Dachshund,Female,14.8,8.47,21.21,likes_dogs_better_than_people,barks_like_hell
Tibetan Mastiff,Female,10.7,25.84,89.84,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.0,15.9,18.07,likes_people_better_than_dogs,no_special_skills
Beagle,Male,12.3,15.28,17.44,likes_dogs_better_than_people,no_special_skills
Siberian Husky,Female,12.6,22.14,45.63,likes_everybody,barks_like_hell
Bloodhound,Male,10.9,25.88,101.0,likes_dogs_better_than_people,barks_like_hell
Greyhound,Male,11.1,28.95,67.65,likes_dogs_better_than_people,no_special_skills
Cane Corso,Male,9.4,26.63,105.63,likes_dogs_better_than_people,no_special_skills
Labrador Retriever,Female,10.9,23.23,60.03,likes_everybody,high_trainability
Giant Schnauzer,Female,12.9,26.48,70.45,likes_dogs_better_than_people,high_trainability
Plott Hound,Female,13.2,22.55,48.13,likes_nobody,no_special_skills
Rottweiler,Male,9.3,25.56,96.6,likes_dogs_better_than_people,high_trainability
Tibetan Mastiff,Male,11.1,28.65,111.33,likes_dogs_better_than_people,no_special_skills
Boston Terrier,Female,12.0,15.88,18.45,likes_people_better_than_dogs,no_special_skills
French Bulldog,Male,11.4,12.41,24.83,likes_people_better_than_dogs,no_special_skills
Bloodhound,Female,10.8,26.54,94.58,likes_dogs_better_than_people,barks_like_hell
Basset Hound,Female,12.7,12.52,51.25,likes_dogs_better_than_people,no_special_skills
Basset Hound,Female,12.4,12.99,48.93,likes_dogs_better_than_people,no_special_skills
Pug,Male,13.8,11.28,17.42,likes_people_better_than_dogs,no_special_skills
Golden Retriever,Female,11.1,23.45,61.1,likes_everybody,high_trainability
